HGNC_symbol	ENSTranscript
SGSH	ENST00000326317
HTN3	ENST00000526767
ICAM1	ENST00000264832
IDS	ENST00000340855
IDUA	ENST00000247933
CFI	ENST00000394634
IL2RG	ENST00000374202
INS	ENST00000250971
INSR	ENST00000302850
PDX1	ENST00000381033
ITGA6	ENST00000264107
ITGB2	ENST00000302347
ITGB3	ENST00000559488
JAG1	ENST00000254958
JAK3	ENST00000458235
ANOS1	ENST00000262648
KCNA1	ENST00000382545
KCNQ1	ENST00000155840
KCNE1	ENST00000399286
KCNJ1	ENST00000392664
KHK	ENST00000260599
KIT	ENST00000288135
KRT12	ENST00000251643
KRT18	ENST00000388835
KRT9	ENST00000246662
LAMA3	ENST00000269217
LAMB3	ENST00000356082
LCAT	ENST00000264005
LEP	ENST00000308868
SGCG	ENST00000218867
SGCB	ENST00000381431
LHCGR	ENST00000294954
LIG1	ENST00000263274
LIPA	ENST00000456827
LIPC	ENST00000299022
LPL	ENST00000311322
KCNH2	ENST00000262186
LYZ	ENST00000261267
MAOA	ENST00000338702
MBL2	ENST00000373968
MEFV	ENST00000219596
CIITA	ENST00000324288
MITF	ENST00000394351
MLH1	ENST00000231790
MPO	ENST00000225275
MSH2	ENST00000233146
MTM1	ENST00000370396
MTTP	ENST00000457717
MTR	ENST00000366577
MUT	ENST00000274813
MYBPC3	ENST00000545968
MYH7	ENST00000355349
MYL3	ENST00000292327
MYO5A	ENST00000399231
MYO7A	ENST00000409709
MYOC	ENST00000037502
NAGA	ENST00000396398
NAGLU	ENST00000225927
PTCH1	ENST00000331920
NCF1	ENST00000289473
NDP	ENST00000378062
NF1	ENST00000356175
NF2	ENST00000338641
NME1	ENST00000393196
PNP	ENST00000361505
NPC1	ENST00000269228
NPHP1	ENST00000393272
GPR143	ENST00000380929
OAT	ENST00000368845
OCA2	ENST00000354638
OCRL	ENST00000371113
PAH	ENST00000553106
PAX6	ENST00000379123
PCBD1	ENST00000299299
PCCA	ENST00000376285
PDE6B	ENST00000255622
PDHA1	ENST00000545074
PEPD	ENST00000244137
PEX12	ENST00000225873
PEX6	ENST00000304611
PEX7	ENST00000318471
PFKM	ENST00000359794
PGAM2	ENST00000297283
PGK1	ENST00000373316
PHKA2	ENST00000379942
PHKB	ENST00000323584
PHKG2	ENST00000563588
SERPINA1	ENST00000393087
PKD2	ENST00000237596
PKLR	ENST00000342741
PLA2G2A	ENST00000375111
PLG	ENST00000308192
PLOD1	ENST00000196061
PMM2	ENST00000268261
PMP22	ENST00000312280
PON2	ENST00000536183
POU1F1	ENST00000350375
POU3F4	ENST00000373200
CTSA	ENST00000372484
PPOX	ENST00000352210
PPT1	ENST00000433473
PRNP	ENST00000379440
PROC	ENST00000234071
PROS1	ENST00000394236
PTEN	ENST00000371953
PTH	ENST00000282091
PTH1R	ENST00000449590
PTS	ENST00000280362
PEX2	ENST00000357039
QDPR	ENST00000281243
RB1	ENST00000267163
PRPH2	ENST00000230381
RHAG	ENST00000371175
RLBP1	ENST00000268125
ROM1	ENST00000278833
RPGR	ENST00000318842
RPE65	ENST00000262340
RS1	ENST00000379984
SAA1	ENST00000405158
ATXN1	ENST00000244769
ATXN7	ENST00000295900
SCN4A	ENST00000435607
SCNN1B	ENST00000343070
SGCD	ENST00000337851
SLC12A1	ENST00000380993
SLC12A3	ENST00000438926
SLC2A2	ENST00000314251
SLC3A1	ENST00000260649
SLC4A1	ENST00000262418
SLC5A1	ENST00000266088
SMN1	ENST00000380707
SNCA	ENST00000394991
SOX9	ENST00000245479
SPTB	ENST00000389721
STAR	ENST00000276449
ABCA4	ENST00000370225
STS	ENST00000217961
ABCC8	ENST00000302539
TAT	ENST00000355962
SERPINA7	ENST00000372563
TCN2	ENST00000405742
TGFBI	ENST00000442011
TGM1	ENST00000206765
THBD	ENST00000377103
TIMP3	ENST00000266085
TNNI3	ENST00000344887
TPI1	ENST00000396705
TPMT	ENST00000309983
TSC1	ENST00000298552
TSHR	ENST00000298171
TTPA	ENST00000260116
TTR	ENST00000237014
TYR	ENST00000263321
UMPS	ENST00000232607
UROD	ENST00000246337
UROS	ENST00000368797
WAS	ENST00000376701
XDH	ENST00000379416
XPA	ENST00000375128
MID1	ENST00000317552
ALDH3A2	ENST00000579855
AIRE	ENST00000291582
APOB	ENST00000233242
BLMH	ENST00000261714
SLC25A20	ENST00000319017
CASR	ENST00000490131
CHM	ENST00000357749
TPP1	ENST00000299427
ABCC2	ENST00000370449
COL5A2	ENST00000374866
CRYAA	ENST00000291554
CSF2RB	ENST00000262825
CTSK	ENST00000271651
CYBB	ENST00000378588
CYB5R3	ENST00000352397
EGR2	ENST00000242480
ERCC2	ENST00000391945
GALE	ENST00000374497
GLB1	ENST00000307363
GM2A	ENST00000357164
GNRHR	ENST00000226413
GP1BB	ENST00000366425
GUCA1A	ENST00000053469
HFE	ENST00000357618
HLCS	ENST00000336648
HRG	ENST00000232003
HSD17B1	ENST00000585807
HSD17B4	ENST00000256216
IAPP	ENST00000240652
IFNGR1	ENST00000367739
IL2RA	ENST00000379959
IL4R	ENST00000395762
ITGA2B	ENST00000262407
KEL	ENST00000355265
KRT10	ENST00000269576
KRT17	ENST00000311208
KRT2	ENST00000309680
KRT5	ENST00000252242
L1CAM	ENST00000370057
LAMA2	ENST00000421865
LOR	ENST00000368742
LTBP2	ENST00000261978
MAT1A	ENST00000372213
PAFAH1B1	ENST00000397195
MVK	ENST00000228510
MYL2	ENST00000228841
NCF2	ENST00000367535
NEU1	ENST00000375631
NOTCH3	ENST00000263388
OXCT1	ENST00000196371
PAFAH2	ENST00000374282
PCSK1	ENST00000311106
PDE6A	ENST00000255266
SLC26A4	ENST00000265715
PECAM1	ENST00000563924
ABCB4	ENST00000265723
PHEX	ENST00000379374
PLEC	ENST00000436759
PON1	ENST00000222381
PSEN2	ENST00000366783
RAG1	ENST00000299440
RFX5	ENST00000290524
SELE	ENST00000333360
SHOX	ENST00000381578
SLC10A2	ENST00000245312
SLC5A5	ENST00000222248
SOD1	ENST00000270142
STK11	ENST00000326873
SUOX	ENST00000394115
HNF1B	ENST00000225893
TEK	ENST00000380036
THPO	ENST00000204615
THRB	ENST00000356447
UGT1A1	ENST00000305208
BARD1	ENST00000260947
PEX1	ENST00000248633
TWIST1	ENST00000242261
NR0B1	ENST00000378970
AK1	ENST00000373176
ALB	ENST00000295897
ALPL	ENST00000374840
AMH	ENST00000221496
AMT	ENST00000273588
APOA4	ENST00000357780
APOC2	ENST00000252490
APP	ENST00000346798
APRT	ENST00000378364
AQP2	ENST00000199280
ARSA	ENST00000216124
SERPINC1	ENST00000367698
ATRX	ENST00000373344
AVP	ENST00000380293
C1QB	ENST00000314933
CFTR	ENST00000003084
COL10A1	ENST00000243222
COL17A1	ENST00000353479
COL4A5	ENST00000361603
CRYBB2	ENST00000398215
CYP11B2	ENST00000323110
CYP1A1	ENST00000395048
CYP21A2	ENST00000418967
EPX	ENST00000225371
EYA1	ENST00000340726
F10	ENST00000375559
F12	ENST00000253496
F2	ENST00000311907
FBP1	ENST00000375326
FGG	ENST00000404648
FSHB	ENST00000254122
FUT2	ENST00000425340
GALNS	ENST00000268695
OPN1MW	ENST00000369935
GDNF	ENST00000326524
GH1	ENST00000323322
GNAS	ENST00000371085
HBA2	ENST00000251595
HBB	ENST00000335295
HBD	ENST00000380299
HEXA	ENST00000268097
HEXB	ENST00000261416
HOXA13	ENST00000222753
HOXD13	ENST00000392539
HTR1A	ENST00000323865
KCNJ11	ENST00000339994
KRT14	ENST00000167586
LDLR	ENST00000558518
MAN2B1	ENST00000456935
MC2R	ENST00000327606
MPZ	ENST00000533357
OTC	ENST00000039007
PCCB	ENST00000251654
PLP1	ENST00000303958
PMS1	ENST00000441310
PMS2	ENST00000265849
RAG2	ENST00000311485
REN	ENST00000272190
RFXAP	ENST00000255476
RHO	ENST00000296271
RYR1	ENST00000355481
SAG	ENST00000409110
SMPD1	ENST00000342245
TAP2	ENST00000374897
HNF1A	ENST00000541395
TP53	ENST00000269305
TPO	ENST00000345913
TSC2	ENST00000219476
TSHB	ENST00000256592
TYRP1	ENST00000388918
VHL	ENST00000256474
VWF	ENST00000261405
WRN	ENST00000298139
CRX	ENST00000221996
GDF5	ENST00000374369
HBA1	ENST00000320868
HBG1	ENST00000330597
CD53	ENST00000271324
GSTM1	ENST00000309851
C8A	ENST00000361249
IL5RA	ENST00000256452
IL6R	ENST00000368485
FCGR1A	ENST00000369168
CRP	ENST00000255030
FCGR3A	ENST00000367969
FCGR3B	ENST00000367964
IL10	ENST00000423557
CD55	ENST00000367064
IL1A	ENST00000263339
IL1B	ENST00000263341
SLC11A1	ENST00000233202
CCR5	ENST00000343801
GPX1	ENST00000419783
GC	ENST00000273951
CXCL8	ENST00000307407
IL2	ENST00000226730
C7	ENST00000313164
IL3	ENST00000296870
IL4	ENST00000231449
IL9	ENST00000274520
CD14	ENST00000302014
TAP1	ENST00000354258
TNF	ENST00000449264
LTA	ENST00000418386
IGFBP1	ENST00000275525
IGFBP2	ENST00000233809
IGFBP5	ENST00000233813
IL6	ENST00000258743
HGF	ENST00000222390
SERPINE1	ENST00000223095
NOS3	ENST00000297494
IFNA2	ENST00000380206
C8G	ENST00000224181
ORM1	ENST00000259396
ORM2	ENST00000431067
CXCL12	ENST00000374429
CD44	ENST00000428726
IGF2	ENST00000381406
HPX	ENST00000265983
CNTF	ENST00000361987
NCAM1	ENST00000524665
CD4	ENST00000011653
SLC11A2	ENST00000262052
IGF1	ENST00000337514
IFNG	ENST00000229135
NOS1	ENST00000317775
HTR2A	ENST00000542664
BDKRB2	ENST00000306005
SERPINA5	ENST00000329597
NOS2	ENST00000313735
CD79B	ENST00000006750
IL10RB	ENST00000290200
IFNAR1	ENST00000270139
ITGAM	ENST00000544665
BCL2	ENST00000398117
CXCR1	ENST00000295683
SOD2	ENST00000538183
GSR	ENST00000221130
VTN	ENST00000226218
FASLG	ENST00000367721
IL13RA2	ENST00000243213
IL11	ENST00000264563
AGL	ENST00000361915
CR1	ENST00000367049
SELL	ENST00000236147
TGFB1	ENST00000221930
RPL9	ENST00000295955
NAT1	ENST00000307719
ACHE	ENST00000241069
ACY1	ENST00000404366
ADH1A	ENST00000209668
ADH1B	ENST00000394887
ADH1C	ENST00000515683
ADH4	ENST00000265512
ADH5	ENST00000296412
ADH6	ENST00000237653
ADH7	ENST00000209665
ADORA1	ENST00000337894
ADORA2A	ENST00000337539
ADORA2B	ENST00000304222
ADORA3	ENST00000241356
ADRA1D	ENST00000379453
ADRA1B	ENST00000306675
ADRA1A	ENST00000276393
ADRA2A	ENST00000280155
ADRA2B	ENST00000409345
ADRA2C	ENST00000330055
ADRB1	ENST00000369295
AGTR2	ENST00000371906
AHCY	ENST00000217426
ALAS1	ENST00000394965
ALDH1A1	ENST00000297785
ALDH2	ENST00000261733
ALDH3A1	ENST00000225740
ALDH1B1	ENST00000377698
ALDH1A3	ENST00000329841
ALDH3B1	ENST00000007633
ALDH3B2	ENST00000349015
ALDH9A1	ENST00000354775
ALOX12	ENST00000251535
ALOX5	ENST00000374391
AMY2A	ENST00000414303
ANXA1	ENST00000257497
ATP1A2	ENST00000361216
ATP4A	ENST00000262623
ATP4B	ENST00000335288
AVPR1A	ENST00000299178
AVPR1B	ENST00000367126
BCKDHA	ENST00000269980
BDKRB1	ENST00000216629
BLVRA	ENST00000265523
BLVRB	ENST00000263368
TSPO	ENST00000337554
C4BPA	ENST00000367070
C4BPB	ENST00000243611
CA4	ENST00000300900
CACNA1B	ENST00000371372
CACNA1C	ENST00000399655
CACNA1D	ENST00000288139
CACNA1E	ENST00000367570
CACNA2D1	ENST00000356860
CACNB1	ENST00000394303
CACNB3	ENST00000301050
CACNB4	ENST00000539935
CACNG1	ENST00000226021
CALCB	ENST00000324229
CCK	ENST00000396169
CCKAR	ENST00000295589
CD3D	ENST00000300692
CD3E	ENST00000361763
CGA	ENST00000369582
CGB3	ENST00000357383
CHRM1	ENST00000306960
CHRM2	ENST00000397608
CHRM3	ENST00000255380
CHRM4	ENST00000433765
CHRNA2	ENST00000407991
CHRNA3	ENST00000326828
CHRNA4	ENST00000370263
CHRNA5	ENST00000299565
CHRNA7	ENST00000306901
CHRNB1	ENST00000306071
CHRNB2	ENST00000368476
CHRNB3	ENST00000289957
CHRNB4	ENST00000261751
CHRND	ENST00000258385
COMT	ENST00000361682
CRAT	ENST00000318080
CRH	ENST00000276571
CSF1	ENST00000329608
CSF2	ENST00000296871
CSF3R	ENST00000373106
CYP1A2	ENST00000343932
CYP2A6	ENST00000301141
CYP3A7	ENST00000336374
CYP2A13	ENST00000330436
CYP2B6	ENST00000324071
CYP2C19	ENST00000371321
CYP2C8	ENST00000371270
CYP2C9	ENST00000260682
CYP2C18	ENST00000285979
CYP2E1	ENST00000252945
CYP2F1	ENST00000331105
CYP2J2	ENST00000371204
CYP3A5	ENST00000222982
CYP4A11	ENST00000310638
CYP7A1	ENST00000301645
CYP11A1	ENST00000268053
CYP24A1	ENST00000216862
CYP26A1	ENST00000224356
CYP27A1	ENST00000258415
CYP27B1	ENST00000228606
CYP51A1	ENST00000003100
DBH	ENST00000393056
DCK	ENST00000286648
ACE	ENST00000290866
DDC	ENST00000357936
DHFR	ENST00000439211
DIO1	ENST00000361921
DRD1	ENST00000393752
DRD2	ENST00000362072
DRD3	ENST00000383673
DRD4	ENST00000176183
DRD5	ENST00000304374
EPO	ENST00000252723
FGF1	ENST00000359370
FKBP1A	ENST00000400137
FOLR2	ENST00000298223
FOLR3	ENST00000442948
GAST	ENST00000329402
GABRA1	ENST00000023897
GABRA2	ENST00000381620
GABRA3	ENST00000370314
GABRA4	ENST00000264318
GABRA5	ENST00000335625
GABRA6	ENST00000523217
GABRB1	ENST00000295454
GABRB2	ENST00000274547
GABRB3	ENST00000311550
GABRD	ENST00000378585
GABRG2	ENST00000356592
GAD1	ENST00000358196
GAD2	ENST00000259271
GART	ENST00000381815
GAS6	ENST00000327773
GGCX	ENST00000233838
GHRHR	ENST00000326139
GLRB	ENST00000264428
GNRH1	ENST00000276414
GRIA2	ENST00000296526
GRIA3	ENST00000264357
GRIA4	ENST00000282499
GRIK1	ENST00000399907
GRIK3	ENST00000373091
GRIN2A	ENST00000396573
GRIN2B	ENST00000609686
GRIN2C	ENST00000293190
GRIN2D	ENST00000263269
GRM2	ENST00000395052
GRM3	ENST00000361669
GRM4	ENST00000538487
GRM6	ENST00000231188
GRM7	ENST00000357716
GRM8	ENST00000444921
GSTA2	ENST00000493422
GSTA3	ENST00000211122
GSTM2	ENST00000241337
GSTM3	ENST00000361066
GSTM4	ENST00000369836
GSTM5	ENST00000256593
GSTP1	ENST00000398606
GSTT1	ENST00000248935
GSTT2	ENST00000215780
GUCY1A3	ENST00000511108
GUCY1B3	ENST00000264424
GUK1	ENST00000312726
HMGCR	ENST00000287936
HPGD	ENST00000296522
HRH1	ENST00000397056
HSD3B1	ENST00000235547
HTR1B	ENST00000369947
HTR1D	ENST00000374619
HTR1E	ENST00000305344
HTR1F	ENST00000319595
HTR2B	ENST00000258400
HTR2C	ENST00000276198
HTR3A	ENST00000375498
HTR4	ENST00000377888
HTR6	ENST00000289753
ICAM2	ENST00000449662
IGF1R	ENST00000268035
IGF2R	ENST00000356956
IL1R1	ENST00000233946
IL2RB	ENST00000216223
IL5	ENST00000231454
IL7	ENST00000263851
IL12A	ENST00000305579
IMPDH1	ENST00000338791
IMPDH2	ENST00000326739
ITGA4	ENST00000397033
ITGAX	ENST00000268296
ITGB6	ENST00000409872
ITGB7	ENST00000267082
KCNJ5	ENST00000529694
KCNJ2	ENST00000243457
KLKB1	ENST00000264690
LHB	ENST00000221421
LTA4H	ENST00000228740
MAOB	ENST00000378069
KITLG	ENST00000228280
MGP	ENST00000539261
NR3C2	ENST00000358102
NQO1	ENST00000320623
NQO2	ENST00000380455
NPY	ENST00000242152
NPR1	ENST00000368680
NPR3	ENST00000265074
NPY1R	ENST00000296533
NPY2R	ENST00000329476
OPRD1	ENST00000234961
OPRK1	ENST00000265572
OPRM1	ENST00000330432
OXT	ENST00000217386
OXTR	ENST00000316793
P4HA1	ENST00000263556
P4HB	ENST00000331483
PAM	ENST00000438793
PC	ENST00000393958
PDE3A	ENST00000359062
PDE3B	ENST00000282096
PDE4C	ENST00000594617
PDE1B	ENST00000243052
PDHB	ENST00000302746
PGR	ENST00000325455
ABCB1	ENST00000265724
PLA2G1B	ENST00000308366
PLA2G5	ENST00000375108
PLAT	ENST00000220809
PLCB3	ENST00000540288
PLCB4	ENST00000378501
SERPINF2	ENST00000324015
PNLIP	ENST00000369221
POLR2A	ENST00000322644
POLR2B	ENST00000314595
PON3	ENST00000265627
POR	ENST00000461988
PPIB	ENST00000300026
PPIC	ENST00000306442
PPP3CA	ENST00000394854
PPP3R1	ENST00000234310
PRIM1	ENST00000338193
PRIM2	ENST00000607273
PRL	ENST00000306482
PRLR	ENST00000382002
PRRG1	ENST00000449135
PRRG2	ENST00000246794
PTAFR	ENST00000373857
PTGDR	ENST00000306051
PTGDS	ENST00000371625
PTGER1	ENST00000292513
PTGER2	ENST00000245457
PTGER4	ENST00000302472
PTGFR	ENST00000370757
PTGIR	ENST00000291294
PTGIS	ENST00000244043
PTGS1	ENST00000362012
PTGS2	ENST00000367468
RARA	ENST00000254066
RARG	ENST00000425354
RPL3	ENST00000216146
RPL4	ENST00000307961
RPL5	ENST00000370321
RPL6	ENST00000202773
RPL7	ENST00000396467
RPL7A	ENST00000323345
RPL8	ENST00000262584
RPL11	ENST00000374550
RPL12	ENST00000361436
RPL13	ENST00000311528
RPL23	ENST00000479035
RPL18	ENST00000549920
RPL18A	ENST00000222247
RPL19	ENST00000225430
RPL21	ENST00000311549
RPL22	ENST00000234875
RPL23A	ENST00000422514
RPL17	ENST00000418495
RPL24	ENST00000394077
RPL26	ENST00000293842
RPL27	ENST00000253788
RPL30	ENST00000287038
RPL27A	ENST00000314138
RPL28	ENST00000558815
RPL29	ENST00000294189
RPL32	ENST00000429711
RPL35A	ENST00000464167
RPL37	ENST00000274242
RPL37A	ENST00000491306
RPL38	ENST00000584577
RPL39	ENST00000361575
RPL36AL	ENST00000298289
PRSS58	ENST00000547058
SPINK14	ENST00000356972
REEP3	ENST00000373758
FNDC9	ENST00000312349
ATP2B3	ENST00000263519
CLDN20	ENST00000367165
ATP2B4	ENST00000367218
TSR3	ENST00000007390
ZNF676	ENST00000397121
CALHM1	ENST00000329905
GOLGA6L1	ENST00000316397
NCCRP1	ENST00000339852
ZNF429	ENST00000358491
TBC1D3B	ENST00000454519
TBC1D3C	ENST00000457979
TNNT2	ENST00000367318
STX16	ENST00000371141
C16orf87	ENST00000285697
CCL3L3	ENST00000378354
LSS	ENST00000356396
SLC35E4	ENST00000343605
KRTAP5-5	ENST00000399676
UBE2W	ENST00000419880
SNCB	ENST00000310112
TAGLN	ENST00000278968
RORC	ENST00000356728
TM6SF2	ENST00000389363
CD36	ENST00000309881
IDNK	ENST00000376419
LEMD1	ENST00000391936
GALK2	ENST00000327171
GDF6	ENST00000287020
TIMM50	ENST00000314349
PDE9A	ENST00000335512
ALKBH2	ENST00000343075
OR9A4	ENST00000548136
OR2Y1	ENST00000307832
OR9A2	ENST00000350513
OR2A14	ENST00000408899
ETFRF1	ENST00000381356
ZNF425	ENST00000378061
ZNF782	ENST00000481138
TMEM211	ENST00000382744
SPOPL	ENST00000280098
CYP27C1	ENST00000335247
OR6V1	ENST00000418316
ZNF470	ENST00000330619
ARHGEF37	ENST00000333677
SPATA31D1	ENST00000344803
MAP3K15	ENST00000338883
RNASE9	ENST00000338904
OR4F15	ENST00000332238
LCN9	ENST00000277526
MED11	ENST00000293777
IL17REL	ENST00000389983
C4orf3	ENST00000504110
C9orf170	ENST00000375941
FAM166A	ENST00000344774
DDI1	ENST00000302259
LCN10	ENST00000497771
CDY2B	ENST00000382867
CC2D2B	ENST00000344386
BLID	ENST00000560104
RAET1G	ENST00000367360
TOMM5	ENST00000321301
C10orf55	ENST00000409178
DENND6B	ENST00000413817
C8orf82	ENST00000313465
OR2A42	ENST00000391496
OR2T34	ENST00000328782
OR2T27	ENST00000344889
OR2T35	ENST00000317450
STX19	ENST00000315099
PIM3	ENST00000360612
C14orf37	ENST00000267485
VCX3B	ENST00000381032
ANO7	ENST00000274979
TTC3	ENST00000355666
UBASH3A	ENST00000291535
OR4E2	ENST00000408935
OR52N1	ENST00000317078
OR2G3	ENST00000320002
OR2G2	ENST00000320065
OR52J3	ENST00000380370
OR56A1	ENST00000316650
OR14C36	ENST00000317861
OR13C4	ENST00000277216
OR4C15	ENST00000314644
OR5AS1	ENST00000313555
OR52N5	ENST00000317093
OR5C1	ENST00000373680
LHX8	ENST00000294638
OR5D18	ENST00000333976
OR10G9	ENST00000375024
OR5A2	ENST00000302040
OR4C13	ENST00000555099
OR13C9	ENST00000259362
OR2W3	ENST00000360358
OR7G3	ENST00000305444
OR11L1	ENST00000355784
OR5W2	ENST00000344514
OR13C3	ENST00000374781
OR2L8	ENST00000357191
OR2T11	ENST00000330803
OR4D5	ENST00000307033
OR14A16	ENST00000357627
OR5D13	ENST00000361760
OR6S1	ENST00000320704
FAM13C	ENST00000419214
PLEKHA1	ENST00000368990
ATE1	ENST00000224652
USP16	ENST00000399975
GPM6B	ENST00000316715
EXOSC10	ENST00000376936
NT5C1B	ENST00000359846
CLDN18	ENST00000343735
C4B	ENST00000435363
ECHDC1	ENST00000454859
HN1	ENST00000356033
FAM109B	ENST00000321753
DEFB108B	ENST00000328698
ASTL	ENST00000342380
AWAT2	ENST00000276101
SUMO4	ENST00000326669
ZFYVE27	ENST00000356257
EPSTI1	ENST00000313640
GATA3	ENST00000379328
NFU1	ENST00000410022
PRY2	ENST00000303804
BPY2B	ENST00000382392
BPY2C	ENST00000382287
DNAJB12	ENST00000338820
ZNF787	ENST00000270459
INPP5J	ENST00000404390
MYL4	ENST00000354968
ANXA2	ENST00000421017
BTBD7	ENST00000334746
OR8G1	ENST00000341493
OR8K1	ENST00000279783
GPATCH8	ENST00000591680
GPR139	ENST00000570682
ERICH3	ENST00000326665
PTRH1	ENST00000543175
KCTD11	ENST00000333751
IGFL2	ENST00000434646
H2BFWT	ENST00000217926
OR8D1	ENST00000357821
OR8D2	ENST00000357438
FAM150B	ENST00000403610
IGFL4	ENST00000377697
OR5AP2	ENST00000302981
TWISTNB	ENST00000222567
RPLP1	ENST00000260379
TPD52L1	ENST00000532429
CACNA1I	ENST00000404898
ABLIM1	ENST00000369252
OR56A3	ENST00000329564
STUM	ENST00000366788
HMGXB4	ENST00000216106
TMEM200B	ENST00000521452
PDE1A	ENST00000410103
LY6G6F	ENST00000375832
BRPF1	ENST00000383829
RREB1	ENST00000349384
ARHGEF35	ENST00000378115
GLE1	ENST00000309971
OR10A3	ENST00000360759
OR8I2	ENST00000302124
KLHL31	ENST00000370905
STRADA	ENST00000336174
RABL2B	ENST00000395598
RBMS3	ENST00000383766
GTF2IRD2B	ENST00000312575
SNU13	ENST00000355257
SMARCD3	ENST00000262188
DLGAP1	ENST00000400147
TEX11	ENST00000395889
TRIM6	ENST00000380097
TRIM6-TRIM34	ENST00000354852
TRIM34	ENST00000514226
PARVB	ENST00000406477
SLC6A19	ENST00000304460
SP5	ENST00000375281
